rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"389,298","1,030,279","630,328"
North West,"1,035,602","2,866,099","2,004,473"
Yorkshire and The Humber,"727,899","2,181,107","1,408,315"
East Midlands,"596,558","2,034,710","1,364,543"
West Midlands,"741,428","2,282,154","1,793,796"
East of England,"723,863","2,550,843","1,730,240"
London,"1,130,391","3,113,232","3,174,267"
South East,"1,005,744","3,724,679","2,551,547"
South West,"686,582","2,415,732","1,483,012"
Scotland,"723,191","2,127,008","1,281,339"
Wales,"415,502","1,207,067","811,582"
TOTAL,"8,176,058","25,532,908","18,233,442"
