rgn2021+scotlandrgn_id,male,female
North East,"1,009,232","1,033,924"
North West,"2,950,801","2,997,407"
Yorkshire and The Humber,"2,153,335","2,182,766"
East Midlands,"2,019,998","2,024,589"
West Midlands,"2,436,685","2,457,801"
East of England,"2,493,622","2,551,118"
London,"3,666,968","3,837,228"
South East,"3,614,113","3,692,004"
South West,"2,290,243","2,337,230"
Scotland,"1,983,709","2,092,798"
Wales,"1,202,599","1,226,750"
TOTAL,"25,821,305","26,433,616"
