rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"363,030","706,761","980,114"
North West,"895,896","1,997,818","3,012,460"
Yorkshire and The Humber,"649,307","1,441,236","2,226,778"
East Midlands,"453,262","1,219,858","2,322,691"
West Midlands,"611,438","1,482,944","2,722,996"
East of England,"428,305","1,487,652","3,088,990"
London,"1,969,595","2,792,757","2,655,537"
South East,"573,496","2,023,203","4,685,271"
South West,"400,907","1,383,542","2,800,877"
Scotland,"441,365","1,509,195","2,180,977"
Wales,"283,654","777,179","1,373,318"
TOTAL,"7,070,256","16,822,144","28,050,009"
