rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"603,718","454,034","221,136","789,045"
North West,"1,951,166","1,289,467","647,696","2,132,115"
Yorkshire and The Humber,"1,384,333","955,733","492,910","1,555,756"
East Midlands,"1,311,925","885,999","539,908","1,355,983"
West Midlands,"1,598,285","1,046,327","638,397","1,670,981"
East of England,"1,858,047","1,093,047","510,951","1,643,937"
London,"3,235,054","1,394,131","661,712","2,304,344"
South East,"2,958,169","1,613,324","663,616","2,159,747"
South West,"1,649,028","1,097,221","479,079","1,458,340"
Scotland,"1,388,652","912,186","388,541","1,369,443"
Wales,"742,546","563,074","249,306","886,091"
TOTAL,"18,680,924","11,304,542","5,493,251","17,325,782"
