rgn2021+scotlandrgn_id,male,female
North East,"1,014,076","1,041,803"
North West,"2,895,826","2,952,275"
Yorkshire and The Humber,"2,126,915","2,159,348"
East Midlands,"1,958,084","1,969,531"
West Midlands,"2,346,337","2,373,480"
East of England,"2,437,233","2,502,089"
London,"3,547,723","3,737,848"
South East,"3,567,556","3,656,312"
South West,"2,233,031","2,286,292"
Scotland,"2,026,759","2,138,337"
Wales,"1,197,067","1,224,461"
TOTAL,"25,350,607","26,041,775"
