rgn2021+scotlandrgn_id,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"1,220,968","46,890","46,480","12,345","117,058","606,163"
North West,"3,684,036","139,678","128,970","39,439","340,008","1,574,043"
Yorkshire and The Humber,"2,694,179","71,386","91,908","15,919","274,959","1,168,970"
East Midlands,"2,582,954","88,981","87,822","27,346","218,810","989,896"
West Midlands,"3,080,292","106,087","110,844","22,126","286,184","1,211,845"
East of England,"3,303,698","105,407","88,306","16,452","257,043","1,234,042"
London,"4,997,884","228,432","165,923","56,056","525,526","1,444,068"
South East,"4,997,011","139,407","156,552","35,260","354,367","1,599,374"
South West,"3,056,510","57,694","99,720","15,258","233,628","1,122,517"
Scotland,"2,669,485","83,873","67,791","14,700","153,166","1,142,521"
Wales,"1,495,863","42,092","54,224","8,180","144,226","689,565"
TOTAL,"33,782,881","1,109,927","1,098,541","263,082","2,904,975","12,783,003"
