rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"465,480","838,315","581,632","180,815","1,691"
North West,"1,368,402","2,351,627","1,718,743","571,809","9,862"
Yorkshire and The Humber,"1,112,132","1,715,452","1,183,816","371,000","6,332"
East Midlands,"1,497,764","1,516,843","797,132","271,200","10,875"
West Midlands,"1,393,416","1,991,552","1,126,759","431,875","10,388"
East of England,"1,690,276","1,735,102","1,133,271","531,363","15,971"
London,"589,624","1,796,400","1,932,328","3,270,370","6,519"
South East,"2,341,118","2,374,513","1,690,483","963,723","25,019"
South West,"1,535,182","1,467,552","1,120,724","541,718","18,493"
Scotland,"1,090,814","1,546,525","1,087,489","326,126","7,867"
Wales,"780,929","817,579","663,814","173,861","4,833"
TOTAL,"13,865,138","18,151,460","13,036,190","7,633,860","117,851"
