rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"460,559","834,385","579,451","179,800","1,684"
North West,"1,323,835","2,285,487","1,674,049","555,131","9,599"
Yorkshire and The Humber,"1,081,081","1,677,692","1,158,567","362,725","6,199"
East Midlands,"1,431,225","1,458,180","766,920","260,835","10,455"
West Midlands,"1,321,913","1,899,917","1,075,970","412,101","9,916"
East of England,"1,630,519","1,680,608","1,097,834","514,872","15,490"
London,"565,927","1,725,059","1,853,542","3,134,788","6,255"
South East,"2,280,155","2,322,124","1,654,185","942,909","24,496"
South West,"1,477,652","1,418,019","1,082,441","523,319","17,892"
Scotland,"1,113,641","1,588,961","1,119,468","334,936","8,090"
Wales,"771,888","812,260","659,966","172,609","4,805"
TOTAL,"13,458,394","17,702,690","12,722,393","7,394,024","114,880"
