rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"596,400","448,530","218,455","779,770"
North West,"1,927,347","1,273,725","639,789","2,107,348"
Yorkshire and The Humber,"1,367,451","944,077","486,898","1,537,675"
East Midlands,"1,295,760","875,082","533,256","1,340,490"
West Midlands,"1,578,722","1,033,519","630,583","1,651,662"
East of England,"1,835,335","1,079,687","504,706","1,625,012"
London,"3,195,503","1,377,087","653,622","2,277,984"
South East,"2,922,192","1,593,703","655,545","2,134,678"
South West,"1,628,874","1,083,811","473,224","1,441,565"
Scotland,"1,394,600","916,093","390,205","1,375,608"
Wales,"738,879","560,292","248,075","882,104"
TOTAL,"18,481,063","11,185,607","5,434,357","17,153,895"
