rgn2021+scotlandrgn_id,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"1,231,988","47,365","46,900","12,449","118,100","611,130"
North West,"3,756,810","142,492","131,518","40,167","346,591","1,602,866"
Yorkshire and The Humber,"2,739,521","72,567","93,455","16,174","279,579","1,187,436"
East Midlands,"2,647,804","91,232","90,027","28,002","224,031","1,012,718"
West Midlands,"3,168,973","109,307","114,035","22,751","294,267","1,244,656"
East of England,"3,371,916","107,635","90,129","16,817","262,152","1,257,334"
London,"5,120,890","233,945","170,006","57,355","537,759","1,475,285"
South East,"5,076,081","141,880","159,029","35,830","360,029","1,622,008"
South West,"3,123,425","58,951","101,903","15,585","238,649","1,145,155"
Scotland,"2,622,774","82,414","66,605","14,439","150,467","1,122,122"
Wales,"1,500,532","42,278","54,394","8,206","144,660","690,947"
TOTAL,"34,360,715","1,130,065","1,118,001","267,774","2,956,284","12,971,658"
