rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"400,060","1,059,240","648,251"
North West,"1,075,355","2,977,517","2,083,009"
Yorkshire and The Humber,"753,780","2,259,633","1,459,446"
East Midlands,"622,562","2,124,672","1,425,175"
West Midlands,"776,654","2,391,836","1,880,548"
East of England,"752,142","2,652,262","1,799,463"
London,"1,178,676","3,248,964","3,313,156"
South East,"1,040,174","3,854,749","2,641,736"
South West,"714,257","2,514,824","1,544,391"
Scotland,"716,076","2,106,323","1,268,961"
Wales,"424,187","1,232,860","829,180"
TOTAL,"8,453,922","26,422,879","18,893,316"
