rgn2021+scotlandrgn_id,Economically active employed,Economically active unemployed,Economically inactive
North East,"1,267,449","59,235","723,221"
North West,"3,813,007","179,117","1,914,050"
Yorkshire and The Humber,"2,786,088","87,305","1,443,929"
East Midlands,"2,670,776","116,328","1,208,706"
West Midlands,"3,191,136","128,213","1,498,029"
East of England,"3,392,003","121,858","1,491,085"
London,"5,163,807","284,489","1,969,593"
South East,"5,153,563","174,667","1,953,741"
South West,"3,156,230","72,952","1,356,144"
Scotland,"2,737,277","98,573","1,295,687"
Wales,"1,550,087","50,272","833,791"
TOTAL,"34,881,422","1,373,009","15,687,978"
