rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"387,972","1,026,884","628,300"
North West,"1,042,811","2,886,481","2,018,917"
Yorkshire and The Humber,"731,010","2,190,586","1,414,506"
East Midlands,"603,728","2,059,558","1,381,301"
West Midlands,"753,170","2,318,664","1,822,651"
East of England,"729,459","2,571,136","1,744,145"
London,"1,143,101","3,149,555","3,211,540"
South East,"1,008,840","3,736,965","2,560,312"
South West,"692,734","2,437,927","1,496,812"
Scotland,"713,539","2,098,677","1,264,292"
Wales,"414,617","1,204,676","810,057"
TOTAL,"8,220,980","25,681,110","18,352,831"
