rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,461,983","605,949"
North West,"4,114,684","1,905,760"
Yorkshire and The Humber,"2,997,722","1,391,011"
East Midlands,"2,804,600","1,289,214"
West Midlands,"3,294,441","1,659,549"
East of England,"3,428,029","1,677,954"
London,"5,025,743","2,569,498"
South East,"4,969,226","2,425,631"
South West,"3,304,915","1,378,753"
Scotland,"2,818,713","1,240,109"
Wales,"1,707,127","733,890"
TOTAL,"35,927,182","16,877,316"
