rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,454,125","601,754"
North West,"3,998,230","1,849,871"
Yorkshire and The Humber,"2,929,012","1,357,251"
East Midlands,"2,691,750","1,235,865"
West Midlands,"3,139,694","1,580,123"
East of England,"3,317,875","1,621,447"
London,"4,817,855","2,467,715"
South East,"4,857,427","2,366,441"
South West,"3,190,713","1,328,609"
Scotland,"2,894,098","1,270,997"
Wales,"1,694,277","727,251"
TOTAL,"34,985,057","16,407,325"
