rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"615,361","462,790","225,400","803,999"
North West,"1,988,952","1,314,438","660,239","2,172,253"
Yorkshire and The Humber,"1,411,126","974,231","502,450","1,585,052"
East Midlands,"1,337,467","903,248","550,420","1,381,274"
West Midlands,"1,629,284","1,066,620","650,778","1,702,354"
East of England,"1,894,055","1,114,230","520,853","1,674,728"
London,"3,297,755","1,421,152","674,537","2,347,352"
South East,"3,015,332","1,644,500","676,440","2,200,387"
South West,"1,680,983","1,118,483","488,363","1,485,643"
Scotland,"1,399,815","919,519","391,664","1,380,363"
Wales,"756,392","573,573","253,955","902,306"
TOTAL,"19,026,523","11,512,784","5,595,098","17,635,712"
