rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"298,463","655,315","1,114,155"
North West,"714,737","1,844,890","3,460,816"
Yorkshire and The Humber,"525,907","1,323,937","2,538,889"
East Midlands,"354,736","1,097,525","2,641,553"
West Midlands,"480,757","1,344,782","3,128,451"
East of England,"307,523","1,293,547","3,504,912"
London,"1,558,616","2,638,377","3,398,248"
South East,"395,888","1,696,914","5,302,055"
South West,"290,908","1,212,099","3,180,662"
Scotland,"321,097","1,348,205","2,389,520"
Wales,"220,395","696,418","1,524,203"
TOTAL,"5,469,028","15,152,008","32,183,462"
