rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"678,074","557,819","534,817","222,465","62,705"
North West,"2,129,623","1,653,533","1,411,264","515,835","137,847"
Yorkshire and The Humber,"1,513,472","1,222,903","1,086,592","349,384","113,911"
East Midlands,"1,427,200","1,110,610","1,011,124","269,871","108,809"
West Midlands,"1,687,602","1,349,241","1,226,416","361,389","95,169"
East of England,"2,085,069","1,474,598","1,017,907","291,632","70,116"
London,"3,335,714","1,999,857","1,290,351","506,339","153,310"
South East,"3,339,964","2,107,355","1,280,450","367,620","128,479"
South West,"1,849,977","1,364,573","956,189","245,590","102,993"
Scotland,"1,549,845","1,189,202","984,714","361,913","79,423"
Wales,"851,430","717,143","601,477","189,398","62,080"
TOTAL,"20,447,971","14,746,835","11,401,300","3,681,435","1,114,842"
