rgn2021+scotlandrgn_id,Economically active employed,Economically active unemployed,Economically inactive
North East,"1,303,552","60,993","743,006"
North West,"3,963,628","186,197","1,986,055"
Yorkshire and The Humber,"2,887,806","90,436","1,494,616"
East Midlands,"2,791,135","121,549","1,259,725"
West Midlands,"3,346,683","134,695","1,567,659"
East of England,"3,529,139","126,898","1,547,830"
London,"5,393,444","296,886","2,050,466"
South East,"5,336,272","181,275","2,019,113"
South West,"3,287,829","75,973","1,409,670"
Scotland,"2,710,998","97,633","1,282,730"
Wales,"1,583,920","51,447","850,859"
TOTAL,"36,134,405","1,423,984","16,211,728"
