rgn2021+scotlandrgn_id,male,female
North East,"1,043,516","1,064,035"
North West,"3,050,624","3,085,257"
Yorkshire and The Humber,"2,226,153","2,246,706"
East Midlands,"2,088,160","2,084,249"
West Midlands,"2,518,911","2,530,126"
East of England,"2,577,471","2,626,396"
London,"3,789,852","3,950,944"
South East,"3,734,951","3,801,708"
South West,"2,367,109","2,406,363"
Scotland,"1,991,980","2,099,380"
Wales,"1,232,928","1,253,297"
TOTAL,"26,621,655","27,148,462"
