rgn2021+scotlandrgn_id,total
North East,"2,067,932"
North West,"6,020,443"
Yorkshire and The Humber,"4,388,732"
East Midlands,"4,093,814"
West Midlands,"4,953,990"
East of England,"5,105,982"
London,"7,595,241"
South East,"7,394,856"
South West,"4,683,668"
Scotland,"4,058,822"
Wales,"2,441,017"
TOTAL,"52,804,498"
