rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"461,384","831,054","576,597","179,194","1,676"
North West,"1,342,311","2,307,038","1,686,278","560,868","9,680"
Yorkshire and The Humber,"1,093,969","1,687,578","1,164,584","364,960","6,232"
East Midlands,"1,461,794","1,480,594","778,080","264,723","10,620"
West Midlands,"1,354,869","1,936,658","1,095,733","420,010","10,107"
East of England,"1,656,741","1,700,785","1,110,845","520,911","15,664"
London,"575,847","1,754,342","1,887,080","3,194,250","6,369"
South East,"2,305,342","2,338,205","1,664,634","949,138","24,652"
South West,"1,502,909","1,436,724","1,097,180","530,395","18,118"
Scotland,"1,110,327","1,574,248","1,106,995","331,959","8,009"
Wales,"778,687","815,313","661,959","173,369","4,822"
TOTAL,"13,644,180","17,862,539","12,829,964","7,489,776","115,949"
