rgn2021+scotlandrgn_id,total
North East,"2,043,156"
North West,"5,948,208"
Yorkshire and The Humber,"4,336,101"
East Midlands,"4,044,587"
West Midlands,"4,894,486"
East of England,"5,044,740"
London,"7,504,196"
South East,"7,306,117"
South West,"4,627,474"
Scotland,"4,076,507"
Wales,"2,429,350"
TOTAL,"52,254,922"
