rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"267,015","630,917","1,209,619"
North West,"623,054","1,758,910","3,753,917"
Yorkshire and The Humber,"465,135","1,260,521","2,747,203"
East Midlands,"305,231","1,025,015","2,842,164"
West Midlands,"413,245","1,258,874","3,376,919"
East of England,"251,699","1,185,199","3,766,969"
London,"1,346,553","2,513,525","3,880,719"
South East,"317,806","1,522,290","5,696,563"
South West,"238,660","1,113,888","3,420,924"
Scotland,"268,589","1,273,846","2,548,926"
Wales,"190,542","657,074","1,638,610"
TOTAL,"4,687,527","14,200,057","34,882,533"
