rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"684,425","553,184","528,139","221,691","62,466"
North West,"2,174,091","1,661,156","1,411,338","520,532","139,058"
Yorkshire and The Humber,"1,544,535","1,225,406","1,081,117","351,653","114,610"
East Midlands,"1,469,585","1,123,843","1,017,605","274,286","110,491"
West Midlands,"1,743,293","1,368,917","1,239,622","368,537","97,009"
East of England,"2,134,283","1,485,024","1,019,474","295,209","70,956"
London,"3,419,028","2,025,500","1,302,801","514,723","155,838"
South East,"3,395,615","2,111,175","1,275,670","370,149","129,361"
South West,"1,895,442","1,376,851","959,655","248,918","104,460"
Scotland,"1,557,860","1,173,351","962,860","358,794","78,672"
Wales,"866,224","717,088","598,243","190,241","62,355"
TOTAL,"20,884,381","14,821,495","11,396,525","3,714,732","1,125,275"
