rgn2021+scotlandrgn_id,aged 16 to 74 years
North East,"2,107,551"
North West,"6,135,881"
Yorkshire and The Humber,"4,472,858"
East Midlands,"4,172,409"
West Midlands,"5,049,037"
East of England,"5,203,867"
London,"7,740,796"
South East,"7,536,659"
South West,"4,773,472"
Scotland,"4,091,360"
Wales,"2,486,226"
TOTAL,"53,770,117"
