rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"396,204","731,202","928,474"
North West,"980,105","2,052,209","2,815,788"
Yorkshire and The Humber,"708,381","1,486,584","2,091,298"
East Midlands,"497,789","1,259,772","2,170,054"
West Midlands,"669,165","1,523,338","2,527,314"
East of England,"488,739","1,559,401","2,891,183"
London,"2,139,873","2,799,192","2,346,506"
South East,"667,774","2,157,475","4,398,618"
South West,"452,310","1,445,336","2,621,677"
Scotland,"502,231","1,576,666","2,086,199"
Wales,"314,244","806,220","1,301,063"
TOTAL,"7,816,815","17,397,394","26,178,173"
