rgn2021+scotlandrgn_id,Economically active employed,Economically active unemployed,Economically inactive
North East,"1,271,051","59,390","725,438"
North West,"3,774,967","177,328","1,895,806"
Yorkshire and The Humber,"2,765,880","86,678","1,433,704"
East Midlands,"2,624,616","114,322","1,188,676"
West Midlands,"3,126,160","125,564","1,468,093"
East of England,"3,346,996","120,215","1,472,111"
London,"5,069,762","279,409","1,936,400"
South East,"5,111,796","173,142","1,938,930"
South West,"3,110,327","71,895","1,337,100"
Scotland,"2,759,579","99,378","1,306,139"
Wales,"1,541,920","49,993","829,615"
TOTAL,"34,503,055","1,357,314","15,532,013"
