rgn2021+scotlandrgn_id,male,female
North East,"1,022,759","1,045,173"
North West,"2,990,134","3,030,309"
Yorkshire and The Humber,"2,182,024","2,206,708"
East Midlands,"2,046,834","2,046,980"
West Midlands,"2,469,059","2,484,931"
East of England,"2,526,597","2,579,386"
London,"3,715,241","3,880,000"
South East,"3,661,547","3,733,309"
South West,"2,320,453","2,363,215"
Scotland,"1,975,901","2,082,921"
Wales,"1,209,582","1,231,435"
TOTAL,"26,120,131","26,684,367"
