rgn2021+scotlandrgn_id,full_time,part_time,unemployed,students
North East,"972,214","306,673","670,945","118,100"
North West,"3,048,158","840,170","1,785,524","346,591"
Yorkshire and The Humber,"2,157,156","675,820","1,276,177","279,579"
East Midlands,"2,069,247","668,585","1,131,952","224,031"
West Midlands,"2,574,178","708,830","1,376,714","294,267"
East of England,"2,697,834","764,212","1,381,785","262,152"
London,"4,259,779","1,031,118","1,766,586","537,759"
South East,"4,028,203","1,206,906","1,799,718","360,029"
South West,"2,410,916","814,412","1,219,691","238,649"
Scotland,"2,077,716","611,663","1,218,976","150,467"
Wales,"1,186,382","368,544","741,430","144,660"
TOTAL,"27,481,783","7,996,933","14,369,497","2,956,284"
