rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"703,817","568,807","542,952","227,746","64,229"
North West,"2,259,337","1,725,972","1,466,053","540,124","144,396"
Yorkshire and The Humber,"1,600,577","1,269,690","1,119,965","363,910","118,717"
East Midlands,"1,535,093","1,173,665","1,062,434","285,890","115,327"
West Midlands,"1,827,682","1,434,904","1,299,084","385,750","101,617"
East of England,"2,219,704","1,544,165","1,059,793","306,442","73,763"
London,"3,569,415","2,113,831","1,359,176","535,980","162,395"
South East,"3,515,037","2,185,131","1,320,053","382,526","133,911"
South West,"1,973,741","1,433,482","998,843","258,672","108,734"
Scotland,"1,542,813","1,161,974","953,467","355,207","77,900"
Wales,"884,949","732,501","610,966","194,120","63,689"
TOTAL,"21,632,166","15,344,120","11,792,787","3,836,368","1,164,677"
