rgn2021+scotlandrgn_id,aged 16 to 74 years
North East,"2,055,879"
North West,"5,848,101"
Yorkshire and The Humber,"4,286,263"
East Midlands,"3,927,615"
West Midlands,"4,719,817"
East of England,"4,939,323"
London,"7,285,571"
South East,"7,223,868"
South West,"4,519,323"
Scotland,"4,165,096"
Wales,"2,421,528"
TOTAL,"51,392,382"
