rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"474,420","854,349","592,755","184,304","1,723"
North West,"1,394,698","2,396,696","1,751,622","582,817","10,049"
Yorkshire and The Humber,"1,133,495","1,748,309","1,206,489","378,114","6,451"
East Midlands,"1,526,575","1,545,933","812,421","276,399","11,081"
West Midlands,"1,420,212","2,029,748","1,148,354","440,138","10,585"
East of England,"1,722,721","1,768,357","1,154,997","541,519","16,272"
London,"600,927","1,830,862","1,969,400","3,332,963","6,644"
South East,"2,386,029","2,420,075","1,722,920","982,143","25,492"
South West,"1,564,636","1,495,697","1,142,218","552,080","18,841"
Scotland,"1,099,565","1,558,920","1,096,202","328,743","7,930"
Wales,"795,412","832,707","676,103","177,083","4,922"
TOTAL,"14,118,690","18,481,654","13,273,480","7,776,303","119,990"
