rgn2021+scotlandrgn_id,full_time,part_time,unemployed,students
North East,"990,964","312,588","683,629","120,370"
North West,"3,107,188","856,441","1,819,014","353,239"
Yorkshire and The Humber,"2,198,906","688,900","1,300,066","284,986"
East Midlands,"2,109,534","681,602","1,153,012","228,262"
West Midlands,"2,624,105","722,578","1,402,458","299,896"
East of England,"2,750,117","779,022","1,407,587","267,141"
London,"4,342,341","1,051,102","1,799,394","547,959"
South East,"4,106,044","1,230,228","1,833,376","367,011"
South West,"2,457,635","830,194","1,242,413","243,231"
Scotland,"2,094,418","616,580","1,228,690","151,673"
Wales,"1,208,504","375,416","754,956","147,351"
TOTAL,"27,989,754","8,144,651","14,624,594","3,011,118"
