rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"598,318","449,973","219,158","782,456"
North West,"1,913,370","1,264,488","635,149","2,093,167"
Yorkshire and The Humber,"1,361,421","939,915","484,752","1,531,234"
East Midlands,"1,279,793","864,299","526,685","1,325,034"
West Midlands,"1,553,558","1,017,046","620,532","1,626,242"
East of England,"1,820,456","1,070,933","500,614","1,612,943"
London,"3,157,346","1,360,644","645,817","2,254,082"
South East,"2,912,090","1,588,194","653,279","2,128,408"
South West,"1,613,700","1,073,714","468,815","1,429,096"
Scotland,"1,413,384","928,432","395,461","1,394,261"
Wales,"740,236","561,321","248,530","884,064"
TOTAL,"18,363,673","11,118,958","5,398,791","17,060,987"
