rgn2021+scotlandrgn_id,male,female
North East,"1,011,777","1,038,128"
North West,"2,926,932","2,979,242"
Yorkshire and The Humber,"2,143,052","2,174,270"
East Midlands,"1,993,694","2,002,117"
West Midlands,"2,396,126","2,421,251"
East of England,"2,471,429","2,533,517"
London,"3,617,989","3,799,900"
South East,"3,598,934","3,683,036"
South West,"2,267,211","2,318,114"
Scotland,"2,010,152","2,121,385"
Wales,"1,203,931","1,230,220"
TOTAL,"25,641,227","26,301,181"
