rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"392,604","1,039,332","635,996"
North West,"1,055,288","2,921,516","2,043,639"
Yorkshire and The Humber,"739,734","2,217,153","1,431,845"
East Midlands,"610,948","2,084,639","1,398,228"
West Midlands,"762,171","2,346,830","1,844,989"
East of England,"738,145","2,602,362","1,765,476"
London,"1,156,727","3,187,823","3,250,691"
South East,"1,020,833","3,782,284","2,591,739"
South West,"700,973","2,467,522","1,515,173"
Scotland,"710,395","2,089,572","1,258,855"
Wales,"416,532","1,210,450","814,035"
TOTAL,"8,304,351","25,949,481","18,550,666"
