rgn2021+scotlandrgn_id,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"1,224,076","47,007","46,975","12,382","117,396","608,042"
North West,"3,645,999","138,265","128,968","39,063","336,663","1,559,143"
Yorkshire and The Humber,"2,673,521","70,872","92,359","15,806","272,966","1,160,738"
East Midlands,"2,537,443","87,437","87,173","26,885","215,130","973,546"
West Midlands,"3,016,542","103,885","109,618","21,679","280,396","1,187,697"
East of England,"3,258,693","103,991","88,303","16,225","253,700","1,218,411"
London,"4,905,660","224,330","164,102","55,078","516,329","1,420,071"
South East,"4,954,421","138,173","157,375","34,969","351,474","1,587,455"
South West,"3,011,013","56,857","99,314","15,038","230,261","1,106,839"
Scotland,"2,690,407","84,558","69,173","14,819","154,410","1,151,729"
Wales,"1,487,417","41,855","54,503","8,137","143,471","686,144"
TOTAL,"33,405,192","1,097,231","1,097,864","260,084","2,872,195","12,659,817"
