rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,490,036","617,515"
North West,"4,193,665","1,942,216"
Yorkshire and The Humber,"3,055,189","1,417,669"
East Midlands,"2,858,432","1,313,977"
West Midlands,"3,357,704","1,691,333"
East of England,"3,493,737","1,710,130"
London,"5,122,245","2,618,551"
South East,"5,064,443","2,472,215"
South West,"3,368,228","1,405,244"
Scotland,"2,841,314","1,250,046"
Wales,"1,738,746","747,480"
TOTAL,"36,583,740","17,186,376"
