rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"690,536","558,091","532,759","223,527","63,019"
North West,"2,216,614","1,693,434","1,438,527","530,167","141,701"
Yorkshire and The Humber,"1,570,321","1,245,757","1,098,939","357,223","116,492"
East Midlands,"1,506,002","1,151,509","1,042,467","280,667","113,170"
West Midlands,"1,793,097","1,407,841","1,274,677","378,652","99,723"
East of England,"2,177,770","1,515,083","1,039,920","300,831","72,379"
London,"3,501,934","2,074,046","1,333,697","526,169","159,394"
South East,"3,448,698","2,143,981","1,295,289","375,505","131,383"
South West,"1,936,447","1,406,472","980,110","253,948","106,692"
Scotland,"1,530,525","1,152,727","945,890","352,399","77,281"
Wales,"868,802","719,160","599,878","190,645","62,531"
TOTAL,"21,240,746","15,068,102","11,582,151","3,769,733","1,143,766"
