rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,449,162","600,743"
North West,"4,036,412","1,869,762"
Yorkshire and The Humber,"2,948,937","1,368,385"
East Midlands,"2,737,483","1,258,327"
West Midlands,"3,203,483","1,613,895"
East of England,"3,360,216","1,644,731"
London,"4,907,807","2,510,082"
South East,"4,893,518","2,388,452"
South West,"3,235,638","1,349,688"
Scotland,"2,869,191","1,262,347"
Wales,"1,702,321","731,830"
TOTAL,"35,344,167","16,598,241"
