TOID,geometry,prop_of_rec
osgb1000000254166420,"POLYGON ((384597.5 393022.5, 384597.5 393022, 384598.5 393022, 384598.5 393021.5, 384598.63254242466 393021.5, 384595.977504301 393017.27607571246, 384594.0303520254 393018.5, 384595 393018.5, 384595 393019, 384596 393019, 384596 393021, 384596.5 393021, 384596.5 393022.61714285717, 384596.7406530612 393023, 384597 393023, 384597 393022.5, 384597.5 393022.5))",0.7539382395432415
osgb1000000254166420,"POLYGON ((384598.5 393022, 384598.5 393021.5, 384599.5 393021.5, 384599.5 393021, 384599.8052322513 393021, 384597.0433586239 393016.60611013806, 384595.0114309058 393017.88332184654, 384595.71334288793 393019, 384596 393019, 384596 393019.4560454056, 384597.59905717353 393022, 384598.5 393022))",1.0672866694623742
osgb1000000254166420,"POLYGON ((384599.5 393021.5, 384599.5 393021, 384600 393021, 384600 393020.5, 384600.97792207793 393020.5, 384600.66363636364 393020, 384600 393020, 384600 393019.5, 384599.5 393019.5, 384599.5 393018.14876033063, 384598.10921294655 393015.93614456384, 384596.0772852285 393017.2133562724, 384598.77174700017 393021.5, 384599.5 393021.5))",1.006296992564765
osgb1000000254189918,"POLYGON ((384783.0165199595 393744.5, 384783.5 393744.2629088263, 384783.5 393744, 384784.0361278026 393744, 384785.11340973503 393743.4717175139, 384783.4109328772 393740, 384783 393740, 384783 393739.1620192308, 384782.92054826184 393739, 384782 393739, 384782 393739.5, 384781 393739.5, 384781 393740, 384780.73789192556 393740, 384782.94462269486 393744.5, 384783.0165199595 393744.5))",1.0515986383160352
osgb1000000254189918,"POLYGON ((384783.0165199595 393744.5, 384783.5 393744.2629088263, 384783.5 393744, 384784.0361278026 393744, 384784.82661861955 393743.6123554648, 384783.0551750743 393740, 384783 393740, 384783 393739.88748612296, 384782.56479045894 393739, 384782 393739, 384782 393739.5, 384781 393739.5, 384781 393740, 384780.38213412266 393740, 384782.5888648919 393744.5, 384783.0165199595 393744.5))",1.0649769486048004
osgb1000000254189918,"POLYGON ((384782.5 393744.5, 384783.0165199595 393744.5, 384783.5 393744.2629088263, 384783.5 393744, 384784.0361278026 393744, 384784.5398275041 393743.75299341563, 384782.209032656 393739, 384782 393739, 384782 393739.5, 384781 393739.5, 384781 393740, 384780.02637631976 393740, 384780.27156862745 393740.5, 384780.5 393740.5, 384780.5 393740.9658208381, 384782.3849783625 393744.80969828315, 384782.5 393744.75329344167, 384782.5 393744.5))",1.059838695807175
osgb1000000254189927,"POLYGON ((384835 393934, 384839 393934, 384839 393935.4924085513, 384839.18701298704 393935.5, 384839.5 393935.5, 384839.5 393933.11079600186, 384834.4883035295 393932.907355388, 384834.3909628381 393935.3053131525, 384835 393935.33003589755, 384835 393934))",0.5649013970666618
osgb1000000254189927,"POLYGON ((384839 393934, 384839 393934.03803438414, 384839.5 393934.0602566064, 384839.5 393931.65788740537, 384834.55357066024 393931.43804610136, 384834.44700918754 393933.8356792369, 384838.14422635664 393934, 384839 393934))",1.0412217959253744
osgb1000000254189927,"POLYGON ((384839.5 393930.2038884091, 384834.6036246243 393930.0134973046, 384834.5103833357 393932.41142629815, 384839.5 393932.6054430054, 384839.5 393930.2038884091))",1.0304578829291027
osgb1000000254189928,"POLYGON ((384891.5 393816.5, 384892 393816.5, 384892 393815.5, 384892.5 393815.5, 384892.5 393815, 384893 393815, 384893 393813, 384893.5522331726 393813, 384893.6238834137 393811.5, 384891.2213293931 393811.5, 384890.97389568837 393816.6800322161, 384891.5 393816.70516255, 384891.5 393816.5))",0.8006144123748535
osgb1000000254189928,"POLYGON ((384888.4138270655 393811.5, 384888.1571885914 393816.53653005377, 384890.5540789006 393816.65866459184, 384890.8169407907 393811.5, 384888.4138270655 393811.5))",1.063377264922601
osgb1000000254189928,"POLYGON ((384885.6050955414 393811.5, 384885.57961783436 393812, 384887.5 393812, 384887.5 393813.5, 384886 393813.5, 384886 393814, 384885.5 393814, 384885.5 393815.5, 384885.4012738853 393815.5, 384885.3557309238 393816.3937806185, 384887.75262123306 393816.5159151566, 384888.0082092666 393811.5, 384885.6050955414 393811.5))",0.7485784265789603
osgb1000000254189932,"POLYGON ((384558 393687, 384559 393687, 384559 393686.7501359527, 384556.69738672447 393682.06356708484, 384554.5433362135 393683.1218989781, 384554.9747663551 393684, 384555 393684, 384555 393684.05135869567, 384555.46608811745 393685, 384555.5 393685, 384555.5 393685.0690217392, 384556.6943925233 393687.5, 384558 393687.5, 384558 393687))",1.083527469689752
osgb1000000254189932,"POLYGON ((384560 393686.5, 384560 393686, 384561 393686, 384561 393685.5, 384561.6977970424 393685.5, 384559.3653614691 393680.75273303146, 384557.2113109581 393681.8110649247, 384559.51508680277 393686.5, 384560 393686.5))",1.0859297915311106
osgb1000000254189932,"POLYGON ((384563 393685, 384563 393684.5, 384564 393684.5, 384564 393684, 384564.2728304406 393684, 384563.53584779706 393682.5, 384563.5 393682.5, 384563.5 393682.42703804345, 384563.2901869159 393682, 384563 393682, 384563 393681.5, 384562.5 393681.5, 384562.5 393680.5, 384562.5532042724 393680.5, 384562.03333621356 393679.4418989781, 384559.8792857026 393680.5002308713, 384562.09012020106 393685, 384563 393685))",1.0455894836004003
osgb1000000254189933,"POLYGON ((384886.5 393707, 384886 393707, 384886 393706, 384885.5 393706, 384885.5 393705.7425105835, 384880.98345913854 393707.9845344643, 384882.05058109656 393710.134243916, 384886.5 393707.92553956836, 384886.5 393707))",1.0716896017401256
osgb1000000254189933,"POLYGON ((384885.5 393705, 384885 393705, 384885 393704, 384884.5 393704, 384884.5 393703.2473344285, 384879.79202011763 393705.58438919025, 384880.85914207564 393707.7340986419, 384885.5 393705.43036341324, 384885.5 393705))",1.0732322802980097
osgb1000000254189933,"POLYGON ((384884 393703, 384884 393702, 384883.5 393702, 384883.5 393701, 384883.0007246377 393701, 384878.6005810966 393703.184243916, 384879.6677030546 393705.3339533677, 384884.36943520134 393703, 384884 393703))",1.0697715298791224
osgb1000000254189934,"POLYGON ((384550.5 393554, 384550.5 393554.7500635917, 384551.5 393554.3557167257, 384551.5 393553.5, 384551 393553.5, 384551 393552, 384551.5 393552, 384551.5 393553, 384552 393553, 384552 393554.1585432927, 384553.5 393553.5670229937, 384553.5 393553.5, 384553 393553.5, 384553 393552, 384554.5 393552, 384554.5 393553, 384554.9378787879 393553, 384555 393552.9755026947, 384555 393551.5, 384554.5 393551.5, 384554.5 393550.5928064935, 384549.59209340805 393552.52822407667, 384550.1724836309 393554, 384550.5 393554))",0.7501705648932584
osgb1000000254189934,"POLYGON ((384552.5 393545.5, 384552 393545.5, 384552 393544, 384551.5 393544, 384551.5 393543.5642709037, 384549 393544.71446681145, 384549 393545, 384548.3793814022 393545, 384548 393545.1745451745, 384548 393546, 384547.5 393546, 384547.5 393545.5, 384547.29261001694 393545.5, 384546.7793345626 393545.73614693084, 384547.78184962325 393547.9151562933, 384552.5 393545.7444373912, 384552.5 393545.5))",1.0339436828490614
osgb1000000254189934,"POLYGON ((384544.5 393542, 384544.5 393542.6245311329, 384544.99304982484 393543, 384545 393543, 384545 393543.00529271946, 384545.3288904346 393543.25575040677, 384545.5 393543.03105656756, 384545.5 393542, 384544.5 393542))",0.08462695941063822
osgb1000000254189934,"POLYGON ((384548.5 393539, 384548 393539, 384548 393538.5, 384547.5 393538.5, 384547.5 393538, 384546.35 393538, 384546 393538.4596051865, 384546 393538.5, 384545.96923841344 393538.5, 384545.5 393539.11618402443, 384545.5 393540, 384546.5 393540, 384546.5 393540.5, 384547.4274582285 393540.5, 384548.5 393539.0915835401, 384548.5 393539))",0.43573851934808794
osgb1000000254189935,"POLYGON ((384896.5 393704.5, 384897 393704.5, 384897 393705.5, 384897.5 393705.5, 384897.5 393705.908281573, 384902.116563146 393703.60000000003, 384901.0432505168 393701.4533747416, 384896.5 393703.725, 384896.5 393704.5))",1.082685661486482
osgb1000000254189935,"POLYGON ((384897.5 393706.5, 384898 393706.5, 384898 393707.5, 384898.5 393707.5, 384898.5 393708.3791407865, 384903.3049068314 393705.9766873708, 384902.2315942022 393703.8300621124, 384897.5 393706.1958592135, 384897.5 393706.5))",1.0856821829118404
osgb1000000254189935,"POLYGON ((384900.2 393710.5, 384904.4932505168 393708.3533747416, 384903.41993788764 393706.20674948324, 384898.83343685407 393708.5, 384899 393708.5, 384899 393709.5, 384899.5 393709.5, 384899.5 393710.5, 384900.2 393710.5))",1.0804577871441219
osgb1000000254189938,"POLYGON ((384850 393936.648683128, 384854.8600161655 393936.72835552413, 384854.899355142 393934.3286779531, 384850 393934.24836065574, 384850 393936.648683128))",1.0167377719043018
osgb1000000254189938,"POLYGON ((384850 393939.57463046483, 384850.5 393939.58282718615, 384850.5 393938, 384851 393938, 384851 393937.5, 384853 393937.5, 384853 393938, 384853.5 393938, 384853.5 393938.5, 384854.5 393938.5, 384854.5 393939, 384854 393939, 384854 393939.5, 384853.5 393939.5, 384853.5 393939.632007514, 384854.81206270296 393939.6535167386, 384854.8514016795 393937.2538391676, 384850 393937.17430799257, 384850 393939.57463046483))",0.43623813441404724
osgb1000000254189938,"MULTIPOLYGON (((384849.5 393942.49238108034, 384849.9647540984 393942.5, 384850 393942.5, 384850 393941, 384850.5 393941, 384850.5 393940.1084520507, 384849.5 393940.0920586081, 384849.5 393942.49238108034)), ((384854 393942.5661515721, 384854.76410924044 393942.5786779531, 384854.803448217 393940.1790003821, 384854 393940.16582909983, 384854 393942.5661515721)))",0.3063624916979189
osgb1000000254189939,"POLYGON ((384921 393511, 384921 393510.66562989616, 384920.9219885356 393510.5, 384920.5 393510.5, 384920.5 393509.60405582207, 384920.4509898439 393509.5, 384919.5 393509.5, 384919.5 393510, 384918.5 393510, 384918.5 393510.5, 384918.26910386776 393510.5, 384920.3740634766 393514.9691410956, 384922.5452848907 393513.94649865024, 384921.1574878814 393511, 384921 393511))",1.03912848465945
osgb1000000254189939,"POLYGON ((384919.5 393510, 384918.5 393510, 384918.5 393510.5, 384917.5 393510.5, 384917.5 393511, 384917.3873660124 393511, 384918.3293633957 393513, 384919 393513, 384919 393514, 384918.8003620874 393514, 384919.4596741836 393515.39981725626, 384921.63089559774 393514.3771748109, 384919.5 393509.85296776856, 384919.5 393510))",1.014794854337
osgb1000000254189939,"POLYGON ((384918.5 393510.5, 384917.5 393510.5, 384917.5 393511, 384916.5 393511, 384916.5 393511.48805058876, 384916.7411275029 393512, 384917 393512, 384917 393512.5, 384918 393512.5, 384918 393513, 384919 393513, 384919 393514, 384918.5 393514, 384918.5 393514.5, 384919 393514.5, 384919 393515.61632319534, 384920.71650630474 393514.8078509716, 384918.5 393510.1018797152, 384918.5 393510.5))",0.7546556672847604
osgb1000000254189940,"POLYGON ((384655.5 393652.5, 384655.5 393653, 384654.5 393653, 384654.5 393653.5, 384653.9475895143 393653.5, 384656.23831944057 393658.2162086717, 384658.39713902114 393657.1676391611, 384656.13 393652.5, 384655.5 393652.5))",1.090054963897541
osgb1000000254189940,"POLYGON ((384653.5 393653.5, 384653.5 393654, 384652.5 393654, 384652.5 393654.5, 384651.5 393654.5, 384651.5 393654.6201284412, 384653.81772923085 393659.3919239164, 384655.9765488114 393658.34335440584, 384653.6240623857 393653.5, 384653.5 393653.5))",1.0865296123141825
osgb1000000254189940,"POLYGON ((384650.5 393655, 384650.5 393655.5, 384649.5 393655.5, 384649.5 393656, 384649.1785714286 393656, 384651.39713902114 393660.56763916113, 384653.5559586017 393659.51906965056, 384651.3609819143 393655, 384650.5 393655))",1.0756955822035326
osgb1000000254189942,"POLYGON ((384796 393811, 384796 393809.5, 384796.5 393809.5, 384796.5 393810, 384796.5049689441 393810, 384796.6167701863 393807, 384794.2151041622 393807, 384794.02290697047 393812.1572913143, 384796.42124210205 393812.24667026324, 384796.4677018634 393811, 384796 393811))",1.0205803050786837
osgb1000000254189942,"POLYGON ((384793.61343727075 393807, 384793.5948037304 393807.5, 384794 393807.5, 384794 393809, 384793.53890310926 393809, 384793.42207453627 393812.1349000434, 384795.82040966785 393812.2242789924, 384796.0151032948 393807, 384793.61343727075 393807))",1.0234309282626277
osgb1000000254189942,"POLYGON ((384793.0117703792 393807, 384793 393807.31583850936, 384793 393807.5, 384794 393807.5, 384794 393809, 384793 393809, 384793 393809.5, 384792.9186026774 393809.5, 384792.8212421021 393812.1125087726, 384795.21957723366 393812.20188772155, 384795.4134364033 393807, 384793.0117703792 393807))",0.93723744451005
osgb1000000254189943,"MULTIPOLYGON (((384800 393812, 384800 393811, 384799.5 393811, 384799.5 393810, 384799 393810, 384799 393809.6577521345, 384798.8661725027 393812.36775895575, 384801.263251461 393812.48613322526, 384801.28725804 393812, 384800 393812)), ((384800.5 393809, 384800.5 393808.5, 384801 393808.5, 384801 393808, 384801.48478890414 393808, 384801.5 393807.69197530864, 384801.5 393807.5, 384799.10655566095 393807.5, 384799.03248158685 393809, 384800.5 393809)))",0.48218389843179293
osgb1000000254189943,"POLYGON ((384800 393812, 384800 393811, 384799.5 393811, 384799.5 393810, 384799 393810, 384799 393809, 384800.18089378974 393809, 384800.2549678638 393807.5, 384798 393807.5, 384798 393807, 384797.87673462054 393807, 384797.6147119817 393812.3059584361, 384800.01179094 393812.4243327057, 384800.03274564154 393812, 384800 393812))",0.8626670454435627
osgb1000000254189943,"POLYGON ((384798 393807.5, 384798 393807, 384796.6222222222 393807, 384796.5 393809.4750000001, 384796.5 393810, 384797 393810, 384797 393810.5, 384796.5 393810.5, 384796.5 393811, 384796.42469135806 393811, 384796.36325146095 393812.24415791663, 384798.76033041923 393812.36253218615, 384799.0004554654 393807.5, 384798 393807.5))",1.035565527868043
osgb1000000254189944,"POLYGON ((384759 393653, 384759.98474487796 393653, 384757.7244301669 393648.0862723674, 384755.54405308043 393649.08924582717, 384757.573 393653.5, 384759 393653.5, 384759 393653))",1.078733924059628
osgb1000000254189944,"POLYGON ((384759 393653, 384760 393653, 384760 393652.5, 384761 393652.5, 384761 393652.49578770366, 384758.7538068411 393647.61275909725, 384756.5734297547 393648.61573255697, 384758.8201927785 393653.5, 384759 393653.5, 384759 393653))",1.0847089203333602
osgb1000000254189944,"POLYGON ((384760 393653, 384760 393652.5, 384761 393652.5, 384761 393652, 384762 393652, 384762 393651.95841209823, 384761.7891304348 393651.5, 384761.5 393651.5, 384761.5 393651, 384760.5 393651, 384760.5 393650.5, 384761 393650.5, 384761 393650, 384761.0991304348 393650, 384760.17913043476 393648, 384760 393648, 384760 393647.6105860114, 384759.78318351525 393647.13924582716, 384757.6028064288 393648.14221928694, 384759.83738555684 393653, 384760 393653))",1.0162513441177072
osgb1000000254189945,"POLYGON ((384802.5 393734.5, 384802.6832162861 393734.5, 384803.5 393734.08490788285, 384803.5 393734, 384803.66707466374 393734, 384804.5 393733.5767046583, 384804.5 393733.5, 384804.6509330413 393733.5, 384804.67466138734 393733.487941178, 384803.15618004586 393730.5, 384803 393730.5, 384803 393731, 384802 393731, 384802 393730.5, 384802.5 393730.5, 384802.5 393729.2088235294, 384802.393875209 393729, 384801.5 393729, 384801.5 393729.5, 384800.5 393729.5, 384800.5 393730, 384800.2115077902 393730, 384802.5 393734.5031044652, 384802.5 393734.5))",1.0026950303420163
osgb1000000254189945,"POLYGON ((384794.5 393737, 384794.5 393738, 384795 393738, 384795 393738.3868240379, 384796.6387413594 393737.5596498279, 384794.33720382716 393733, 384794 393733, 384794 393733.5, 384793 393733.5, 384793 393734, 384792.15355371305 393734, 384793.66783942736 393737, 384794.5 393737))",0.9696750638046617
osgb1000000254189945,"POLYGON ((384786 393737, 384786 393737.5, 384785 393737.5, 384785 393738, 384784.07463768113 393738, 384784.6253623188 393739, 384785 393739, 384785 393739.5, 384785.5 393739.5, 384785.5 393740, 384785.1760869565 393740, 384786.5528985507 393742.5, 384787.03696703666 393742.5, 384787.5 393742.244996339, 384787.5 393742, 384787.9448617735 393742, 384788.76782339823 393741.5467747574, 384786.2638025173 393737, 384786 393737))",1.0320958853385442
