rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"603,718","454,034","221,136","1,675,225"
North West,"1,951,166","1,289,467","647,696","4,661,165"
Yorkshire and The Humber,"1,384,333","955,733","492,910","3,420,951"
East Midlands,"1,311,925","885,999","539,908","3,093,375"
West Midlands,"1,598,285","1,046,327","638,397","3,817,089"
East of England,"1,858,047","1,093,047","510,951","3,889,415"
London,"3,235,054","1,394,131","661,712","4,834,242"
South East,"2,958,169","1,613,324","663,616","5,422,026"
South West,"1,649,028","1,097,221","479,079","3,558,182"
Scotland,"1,388,652","912,186","388,541","3,046,500"
Wales,"742,546","563,074","249,306","1,891,184"
TOTAL,"18,680,924","11,304,542","5,493,251","39,309,352"
