rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"988,865","815,243","799,909","324,168","75,770"
North West,"3,172,358","2,474,502","2,125,485","744,813","175,342"
Yorkshire and The Humber,"2,244,333","1,820,803","1,640,738","513,846","138,970"
East Midlands,"2,163,756","1,687,498","1,547,471","398,329","132,314"
West Midlands,"2,576,746","2,066,800","1,891,026","553,592","130,026"
East of England,"3,154,317","2,236,782","1,560,478","430,769","92,377"
London,"4,678,784","2,851,404","1,842,765","716,717","206,481"
South East,"5,025,155","3,164,873","1,941,899","547,684","156,613"
South West,"2,827,901","2,095,205","1,483,846","367,511","124,098"
Scotland,"2,124,520","1,640,891","1,381,975","492,146","94,406"
Wales,"1,223,172","1,030,579","877,760","270,052","78,374"
TOTAL,"30,179,908","21,884,581","17,093,350","5,359,627","1,404,772"
