rgn2021+scotlandrgn_id,total
North East,"2,831,973"
North West,"8,060,916"
Yorkshire and The Humber,"5,916,401"
East Midlands,"5,420,593"
West Midlands,"6,580,506"
East of England,"6,899,473"
London,"9,514,244"
South East,"10,059,673"
South West,"6,302,046"
Scotland,"5,639,351"
Wales,"3,313,642"
TOTAL,"70,538,817"
