rgn2021+scotlandrgn_id,Other,Economically active employed,Economically active unemployed,Economically inactive
North East,"468,257","1,278,887","59,815","1,147,154"
North West,"1,468,525","3,888,329","182,658","3,009,982"
Yorkshire and The Humber,"1,056,897","2,832,976","88,741","2,275,313"
East Midlands,"955,579","2,737,831","119,234","2,018,561"
West Midlands,"1,274,744","3,283,009","132,058","2,410,287"
East of England,"1,229,522","3,462,046","124,451","2,535,442"
London,"1,647,044","5,290,897","291,300","2,895,897"
South East,"1,752,943","5,235,109","177,710","3,491,372"
South West,"1,023,577","3,225,328","74,535","2,460,069"
Scotland,"813,091","2,689,379","96,853","2,136,555"
Wales,"510,097","1,554,926","50,483","1,330,604"
TOTAL,"12,200,276","35,478,716","1,397,839","25,711,237"
