rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"629,069","1,193,683","799,153","240,623","2,493"
North West,"1,868,314","3,282,114","2,329,419","731,340","15,876"
Yorkshire and The Humber,"1,514,873","2,415,821","1,594,782","492,245","9,737"
East Midlands,"2,036,126","2,100,380","1,062,089","357,771","17,087"
West Midlands,"1,880,399","2,768,216","1,523,645","587,511","17,743"
East of England,"2,326,841","2,422,131","1,541,766","735,501","27,656"
London,"797,486","2,368,179","2,498,063","4,071,887","9,032"
South East,"3,261,085","3,296,227","2,295,946","1,356,205","43,541"
South West,"2,143,032","2,052,738","1,501,509","746,096","33,198"
Scotland,"1,522,523","2,211,239","1,490,963","449,896","13,583"
Wales,"1,067,494","1,148,755","899,356","238,102","7,553"
TOTAL,"19,047,243","25,259,482","17,536,691","10,007,177","197,501"
