rgn2021+scotlandrgn_id,aged 15 years and under,aged 16 to 74 years,aged 75 and over
North East,"458,242","2,049,905","356,876"
North West,"1,425,670","5,906,174","895,219"
Yorkshire and The Humber,"1,026,480","4,317,322","683,657"
East Midlands,"924,847","3,995,810","652,797"
West Midlands,"1,228,718","4,817,378","731,418"
East of England,"1,196,387","5,004,946","852,561"
London,"1,608,041","7,417,889","718,717"
South East,"1,707,856","7,281,970","1,263,179"
South West,"990,316","4,585,326","900,932"
Scotland,"808,309","4,131,537","748,358"
Wales,"498,499","2,434,151","428,609"
TOTAL,"11,873,364","51,942,408","8,232,322"
