rgn2021+scotlandrgn_id,Other,Economically active employed,Economically active unemployed,Economically inactive
North East,"470,980","1,303,552","60,993","1,168,430"
North West,"1,477,065","3,963,628","186,197","3,065,608"
Yorkshire and The Humber,"1,063,044","2,887,806","90,436","2,317,403"
East Midlands,"961,136","2,791,135","121,549","2,055,549"
West Midlands,"1,282,157","3,346,683","134,695","2,454,655"
East of England,"1,236,673","3,529,139","126,898","2,582,013"
London,"1,656,622","5,393,444","296,886","2,949,199"
South East,"1,763,138","5,336,272","181,275","3,555,540"
South West,"1,029,530","3,287,829","75,973","2,505,229"
Scotland,"799,665","2,710,998","97,633","2,125,641"
Wales,"506,035","1,583,920","51,447","1,338,536"
TOTAL,"12,246,046","36,134,405","1,423,984","26,117,803"
