rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"701,896","1,550,281","751,778"
North West,"1,829,533","4,401,637","2,461,330"
Yorkshire and The Humber,"1,306,217","3,332,224","1,720,249"
East Midlands,"1,101,699","3,153,802","1,673,869"
West Midlands,"1,365,976","3,603,579","2,248,636"
East of England,"1,349,941","4,009,442","2,115,341"
London,"1,821,656","4,566,087","3,908,408"
South East,"1,896,605","5,837,554","3,102,065"
South West,"1,302,426","3,786,705","1,809,430"
Scotland,"1,225,103","3,030,555","1,478,278"
Wales,"736,525","1,783,280","960,132"
TOTAL,"14,637,576","39,055,146","22,229,516"
