rgn2021+scotlandrgn_id,male,female
North East,"1,474,282","1,529,673"
North West,"4,289,249","4,403,251"
Yorkshire and The Humber,"3,140,492","3,218,198"
East Midlands,"2,940,053","2,989,317"
West Midlands,"3,571,092","3,647,098"
East of England,"3,672,368","3,802,356"
London,"5,026,711","5,269,440"
South East,"5,320,885","5,515,339"
South West,"3,386,714","3,511,847"
Scotland,"2,768,414","2,965,523"
Wales,"1,708,730","1,771,207"
TOTAL,"37,298,990","38,623,248"
