rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"634,607","1,207,358","806,021","244,697","2,555"
North West,"1,906,632","3,346,599","2,367,248","750,410","16,550"
Yorkshire and The Humber,"1,543,721","2,458,694","1,616,629","504,435","10,089"
East Midlands,"2,093,847","2,152,218","1,084,322","368,945","17,920"
West Midlands,"1,936,130","2,843,383","1,561,065","606,735","18,681"
East of England,"2,383,808","2,471,309","1,568,359","753,821","28,956"
London,"817,971","2,422,891","2,551,517","4,152,720","9,245"
South East,"3,331,987","3,350,804","2,327,324","1,388,862","45,545"
South West,"2,205,580","2,100,022","1,531,935","769,146","34,956"
Scotland,"1,532,018","2,224,732","1,492,875","456,720","14,052"
Wales,"1,083,294","1,162,837","908,407","242,818","7,772"
TOTAL,"19,469,595","25,740,847","17,815,703","10,239,309","206,319"
