rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"598,318","449,973","219,158","1,597,574"
North West,"1,913,370","1,264,488","635,149","4,414,057"
Yorkshire and The Humber,"1,361,421","939,915","484,752","3,241,370"
East Midlands,"1,279,793","864,299","526,685","2,902,678"
West Midlands,"1,553,558","1,017,046","620,532","3,586,378"
East of England,"1,820,456","1,070,933","500,614","3,661,891"
London,"3,157,346","1,360,644","645,817","4,580,840"
South East,"2,912,090","1,588,194","653,279","5,099,442"
South West,"1,613,700","1,073,714","468,815","3,320,344"
Scotland,"1,413,384","928,432","395,461","2,950,928"
Wales,"740,236","561,321","248,530","1,811,171"
TOTAL,"18,363,673","11,118,958","5,398,791","37,166,673"
