rgn2021+scotlandrgn_id,male,female
North East,"1,420,028","1,475,209"
North West,"4,136,121","4,251,316"
Yorkshire and The Humber,"3,027,357","3,106,211"
East Midlands,"2,833,401","2,883,851"
West Midlands,"3,444,435","3,521,558"
East of England,"3,539,046","3,667,208"
London,"4,856,510","5,097,834"
South East,"5,127,475","5,317,049"
South West,"3,259,637","3,382,002"
Scotland,"2,766,951","2,953,446"
Wales,"1,672,201","1,732,927"
TOTAL,"36,083,162","37,388,611"
