rgn2021+scotlandrgn_id,Other,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"468,257","1,231,988","47,365","46,900","12,449","118,100","1,029,054"
North West,"1,468,525","3,756,810","142,492","131,518","40,167","346,591","2,663,391"
Yorkshire and The Humber,"1,056,897","2,739,521","72,567","93,455","16,174","279,579","1,995,734"
East Midlands,"955,579","2,647,804","91,232","90,027","28,002","224,031","1,794,531"
West Midlands,"1,274,744","3,168,973","109,307","114,035","22,751","294,267","2,116,020"
East of England,"1,229,522","3,371,916","107,635","90,129","16,817","262,152","2,273,290"
London,"1,647,044","5,120,890","233,945","170,006","57,355","537,759","2,358,139"
South East,"1,752,943","5,076,081","141,880","159,029","35,830","360,029","3,131,343"
South West,"1,023,577","3,123,425","58,951","101,903","15,585","238,649","2,221,420"
Scotland,"813,091","2,622,774","82,414","66,605","14,439","150,467","1,986,088"
Wales,"510,097","1,500,532","42,278","54,394","8,206","144,660","1,185,943"
TOTAL,"12,200,276","34,360,715","1,130,065","1,118,001","267,774","2,956,284","22,754,953"
