rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,830,604","1,064,633"
North West,"5,039,134","3,348,304"
Yorkshire and The Humber,"3,704,555","2,429,012"
East Midlands,"3,489,121","2,228,131"
West Midlands,"4,050,194","2,915,800"
East of England,"4,320,380","2,885,874"
London,"5,748,726","4,205,618"
South East,"6,293,034","4,151,490"
South West,"4,255,938","2,385,701"
Scotland,"3,650,054","2,070,343"
Wales,"2,162,461","1,242,666"
TOTAL,"44,544,202","28,927,572"
