rgn2021+scotlandrgn_id,Other,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"462,759","1,217,055","46,759","46,331","12,303","116,678","993,352"
North West,"1,451,284","3,710,948","140,724","129,912","39,703","342,430","2,572,437"
Yorkshire and The Humber,"1,044,489","2,706,111","71,696","92,315","15,986","276,175","1,926,795"
East Midlands,"944,360","2,615,179","90,099","88,918","27,673","221,413","1,729,608"
West Midlands,"1,259,778","3,130,184","107,879","112,639","22,479","290,750","2,042,284"
East of England,"1,215,088","3,330,700","106,293","89,027","16,598","259,048","2,189,499"
London,"1,627,707","5,058,284","231,123","167,928","56,682","531,428","2,281,192"
South East,"1,732,364","5,014,345","140,017","157,095","35,388","355,622","3,009,692"
South West,"1,011,560","3,085,252","58,234","100,657","15,398","235,780","2,134,757"
Scotland,"814,916","2,634,009","82,761","66,890","14,504","151,125","1,956,191"
Wales,"506,602","1,493,121","42,040","54,125","8,165","143,954","1,157,121"
TOTAL,"12,070,909","33,995,187","1,117,625","1,105,839","264,880","2,924,404","21,992,929"
