rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"945,443","777,748","761,065","307,581","73,186"
North West,"3,006,630","2,341,922","2,008,389","702,248","167,874"
Yorkshire and The Humber,"2,130,484","1,726,144","1,552,280","485,182","133,368"
East Midlands,"2,037,352","1,585,545","1,452,397","372,076","126,085"
West Midlands,"2,421,968","1,940,613","1,773,716","517,900","123,317"
East of England,"2,983,771","2,110,146","1,468,399","403,496","88,082"
London,"4,428,284","2,698,483","1,745,217","676,304","196,359"
South East,"4,764,683","2,992,609","1,832,165","513,555","149,993"
South West,"2,660,484","1,965,660","1,389,631","342,520","118,279"
Scotland,"2,112,007","1,628,047","1,367,633","485,864","94,653"
Wales,"1,182,826","995,293","846,815","259,926","76,399"
TOTAL,"28,673,931","20,762,209","16,197,707","5,066,652","1,347,596"
