rgn2021+scotlandrgn_id,Other,Economically active employed,Economically active unemployed,Economically inactive
North East,"458,242","1,267,449","59,235","1,080,097"
North West,"1,425,670","3,813,007","179,117","2,809,270"
Yorkshire and The Humber,"1,026,480","2,786,088","87,305","2,127,586"
East Midlands,"924,847","2,670,776","116,328","1,861,504"
West Midlands,"1,228,718","3,191,136","128,213","2,229,447"
East of England,"1,196,387","3,392,003","121,858","2,343,646"
London,"1,608,041","5,163,807","284,489","2,688,310"
South East,"1,707,856","5,153,563","174,667","3,216,920"
South West,"990,316","3,156,230","72,952","2,257,076"
Scotland,"808,309","2,737,277","98,573","2,044,045"
Wales,"498,499","1,550,087","50,272","1,262,400"
TOTAL,"11,873,364","34,881,422","1,373,009","23,920,300"
