rgn2021+scotlandrgn_id,Other,Economically active employed,Economically active unemployed,Economically inactive
North East,"462,759","1,263,386","59,062","1,110,030"
North West,"1,451,284","3,840,860","180,427","2,914,867"
Yorkshire and The Humber,"1,044,489","2,798,426","87,682","2,202,970"
East Midlands,"944,360","2,704,097","117,773","1,951,021"
West Midlands,"1,259,778","3,242,824","130,358","2,333,034"
East of England,"1,215,088","3,419,728","122,891","2,448,547"
London,"1,627,707","5,226,212","287,805","2,812,620"
South East,"1,732,364","5,171,439","175,405","3,365,315"
South West,"1,011,560","3,185,909","73,631","2,370,538"
Scotland,"814,916","2,700,899","97,265","2,107,317"
Wales,"506,602","1,547,246","50,205","1,301,075"
TOTAL,"12,070,909","35,101,026","1,382,505","24,917,333"
