rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"927,716","771,921","756,144","303,138","73,053"
North West,"2,925,265","2,303,234","1,979,727","686,993","165,699"
Yorkshire and The Humber,"2,073,070","1,700,696","1,535,189","475,452","131,995"
East Midlands,"1,966,063","1,547,674","1,422,244","360,877","123,734"
West Midlands,"2,332,477","1,892,182","1,733,146","502,299","120,401"
East of England,"2,900,815","2,072,703","1,445,992","393,292","86,671"
London,"4,301,828","2,645,352","1,715,472","659,224","192,368"
South East,"4,651,634","2,948,243","1,809,836","501,681","148,279"
South West,"2,573,436","1,919,525","1,360,734","332,257","116,093"
Scotland,"2,077,114","1,620,522","1,366,983","479,835","94,897"
Wales,"1,156,833","984,893","840,451","255,594","75,870"
TOTAL,"27,886,252","20,406,945","15,965,917","4,950,642","1,329,062"
