rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"954,080","785,871","770,272","311,669","73,345"
North West,"3,062,727","2,387,830","2,049,689","717,283","169,909"
Yorkshire and The Humber,"2,166,035","1,756,547","1,581,601","494,781","134,603"
East Midlands,"2,087,766","1,626,943","1,491,383","383,001","128,158"
West Midlands,"2,487,636","1,994,682","1,824,287","533,393","125,995"
East of England,"3,044,029","2,156,238","1,502,724","413,875","89,388"
London,"4,522,949","2,756,906","1,782,278","692,253","199,960"
South East,"4,847,824","3,049,765","1,869,659","525,799","151,477"
South West,"2,725,005","2,016,696","1,427,270","352,620","120,048"
Scotland,"2,120,292","1,637,322","1,378,392","490,156","94,235"
Wales,"1,197,124","1,008,453","858,865","263,910","76,777"
TOTAL,"29,215,465","21,177,253","16,536,422","5,178,739","1,363,895"
