rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"672,228","1,494,988","728,022"
North West,"1,754,166","4,249,273","2,383,998"
Yorkshire and The Humber,"1,251,353","3,215,834","1,666,381"
East Midlands,"1,054,012","3,042,251","1,620,989"
West Midlands,"1,309,278","3,478,638","2,178,078"
East of England,"1,290,531","3,867,546","2,048,177"
London,"1,751,531","4,418,134","3,784,680"
South East,"1,811,540","5,630,427","3,002,556"
South West,"1,242,975","3,647,859","1,750,804"
Scotland,"1,219,045","3,026,104","1,475,247"
Wales,"719,321","1,746,364","939,443"
TOTAL,"14,075,979","37,817,418","21,578,376"
