rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"545,555","1,054,055","1,232,363"
North West,"1,330,756","2,950,146","3,780,014"
Yorkshire and The Humber,"971,366","2,143,098","2,801,937"
East Midlands,"680,258","1,827,702","2,912,632"
West Midlands,"932,520","2,232,639","3,415,347"
East of England,"683,205","2,297,515","3,918,754"
London,"2,720,290","3,735,320","3,058,635"
South East,"933,619","3,172,317","5,953,738"
South West,"629,509","2,123,295","3,549,241"
Scotland,"677,338","2,222,190","2,739,822"
Wales,"432,099","1,163,264","1,718,280"
TOTAL,"10,536,515","24,921,541","35,080,761"
